ticker,company,category
BIP-PB,Brookfield Infrastructure Partners L.P.,Utilities
CDZIP,Cadiz Inc.,Utilities
CEZZY,CEZ a.s,Utilities
CMS-PC,CMS Energy Corporation,Utilities
CNUTF,Canadian Utilities Limited 2ND PFD SER DD%,Utilities
CPRHF,Capital Power Corp,Utilities
CUTLF,Canadian Utilities Limited,Utilities
DGXX,Digi Power X Inc.,Utilities
EAPBF,--,Utilities
EMICF,--,Utilities
ETI-P,"Entergy Texas, Inc.",Utilities
FORFF,Fortis Inc.,Utilities
FRTSF,Fortis Inc.,Utilities
FTRSF,Fortis Inc.,Utilities
HAWEL,"Hawaiian Electric Company, Inc. PFD SER E 5%",Utilities
HAWEM,"Hawaiian Electric Company, Inc. PFD SER D 5%",Utilities
HAWEN,"Hawaiian Electric Company, Inc. PFD C 4.25%",Utilities
HAWLI,"Hawaiian Electric Company, Inc. PFD J 4.75%",Utilities
HAWLL,"Hawaiian Electric Company, Inc. PFD K 4.65%",Utilities
HAWLM,"Hawaiian Electric Company, Inc. PFD H 5.250%",Utilities
HAWLN,"Hawaiian Electric Company, Inc. PFD SER I 5%",Utilities
HCAEF,--,Utilities
HTOOW,Fusion Fuel Green PLC,Utilities
IPWG,International Power Group Ltd,Utilities
ITRE,"IntriEnergy, Inc.",Utilities
MGFCF,Mega First Corp Bhd,Utilities
MSEXP,Middlesex Water Company PFD 7%,Utilities
NEE-PS,"NextEra Energy, Inc.",Utilities
NEE-PT,"NextEra Energy, Inc.",Utilities
NEWEN,New England Power Company PFD 6%,Utilities
NMKBP,Niagara Mohawk Power Corp,Utilities
NMKCP,Niagara Mohawk Power Corp,Utilities
NMPWP,Niagara Mohawk Power Corporation PFD 3.40%,Utilities
NPICF,--,Utilities
NSARO,NSTAR Electric Company,Utilities
NSARP,NSTAR Electric Company PFD 4.25%,Utilities
NXXT,NextNRG Inc.,Utilities
PCG-PX,PG&E Corp,Utilities
PNMXO,Public Service Company of New Mexico PFD 4.58%,Utilities
RNWWW,ReNew Energy Global Plc,Utilities
SHEKF,Shikoku Electric Power Co Inc,Utilities
TSLTF,TransAlta Corp,Utilities
UEPCO,Union Electric Company,Utilities
VGASW,"Verde Clean Fuels, Inc.",Utilities
VIASP,"Via Renewables, Inc.",Utilities
WELPM,Wisconsin Electric Power Company,Utilities
WELPP,Wisconsin Electric Power Company PFD 3.60%,Utilities
XIFR,"XPLR Infrastructure, LP",Utilities
